type,timestamp,price,gross_pnl,fee,net_pnl,capital_after
ENTRY,2019-08-08 20:00:00,12003.369931,0.0,0.1896004902828698,-0.1896004902828698,1899.1331800708517
STOP,2019-08-10 08:00:00,11518.9382125207,-19.129730204981804,0.18194859820087708,-19.31167880318268,1879.821501267669
ENTRY,2019-08-19 20:00:00,10918.814662,0.0,0.25083716082776747,-0.25083716082776747,1879.5706641068411
STOP,2019-08-20 08:00:00,10588.326496529973,-18.980703418793663,0.24324487946024997,-19.223948298253912,1860.3467158085873
ENTRY,2019-08-20 12:00:00,10747.763362,0.0,0.25470234634964356,-0.25470234634964356,1860.0920134622377
STOP,2019-08-21 00:00:00,10430.62644931283,-18.78891287770064,0.24718678119856333,-19.036099658899204,1841.0559138033384
ENTRY,2019-09-02 16:00:00,10166.729104,0.0,0.40389527412107046,-0.40389527412107046,1840.6520185292172
EXIT,2019-09-07 00:00:00,10330.739848000001,16.28920268481886,0.41041095519499804,15.878791729623863,1856.530810258841
ENTRY,2019-09-07 12:00:00,10458.776692,0.0,0.2557247222665873,-0.2557247222665873,1856.2750855365744
EXIT,2019-09-08 08:00:00,10383.8839,-4.577958540939696,0.2538935388502115,-4.831852079789908,1851.4432334567844
ENTRY,2019-10-02 12:00:00,8242.451994,0.0,0.2273961226454342,-0.2273961226454342,1851.215837334139
EXIT,2019-10-03 08:00:00,8214.554894,-1.9240913922426786,0.22662648608853717,-2.1507178783312155,1849.0651194558077
ENTRY,2019-10-08 00:00:00,8261.267637,0.0,0.2656205055662479,-0.2656205055662479,1848.7994989502415
EXIT,2019-10-11 20:00:00,8256.02245,-0.42161484288734596,0.26545185962909296,-0.687066702516439,1848.112432247725
ENTRY,2019-10-20 20:00:00,8225.817005,0.0,0.40302085896853485,-0.40302085896853485,1847.7094113887565
STOP,2019-10-22 20:00:00,8072.511667612787,-18.77784562940682,0.39550972071677215,-19.173355350123593,1828.536056038633
ENTRY,2019-10-25 16:00:00,8637.460461,0.0,0.18685783071954865,-0.18685783071954865,1828.3491982079133
EXIT,2019-10-30 00:00:00,9274.146921000001,34.434267832913214,0.20063153785271393,34.2336362950605,1862.5828345029738
ENTRY,2019-10-31 04:00:00,9101.049496,0.0,0.23933321225603474,-0.23933321225603474,1862.3435012907178
EXIT,2019-10-31 12:00:00,9211.215806,7.242696808286385,0.24223029097934928,7.000466517307036,1869.343967808025
ENTRY,2019-11-02 00:00:00,9239.441001,0.0,0.30278877108640045,-0.30278877108640045,1869.0411790369385
EXIT,2019-11-07 08:00:00,9194.350867000001,-3.6941591651764756,0.3013111074203299,-3.9954702725968056,1865.0457087643417
ENTRY,2019-11-28 20:00:00,7421.7158469999995,0.0,0.19904936164666323,-0.19904936164666323,1864.846659402695
EXIT,2019-12-01 00:00:00,7286.8732820000005,-9.041145955789277,0.1954329032643475,-9.236578859053624,1855.6100805436413
ENTRY,2019-12-05 20:00:00,7391.2167,0.0,0.21356315064805353,-0.21356315064805353,1855.3965173929932
EXIT,2019-12-09 12:00:00,7421.772800000001,2.2072336843801166,0.21444604412180562,1.992787640258311,1857.3893050332515
ENTRY,2019-12-19 04:00:00,7094.667762,0.0,0.19502189839545633,-0.19502189839545633,1857.194283134856
EXIT,2019-12-21 04:00:00,7130.810115,2.4837492504905376,0.19601539809565258,2.287733852394885,1859.482016987251
ENTRY,2019-12-21 08:00:00,7148.1337969999995,0.0,0.430970610220572,-0.430970610220572,1859.0510463770304
EXIT,2019-12-22 00:00:00,7135.118822,-1.9617259123315478,0.43018591985563936,-2.391911832187187,1856.6591345448433
ENTRY,2019-12-22 04:00:00,7184.004555,0.0,0.6138499854624916,-0.6138499854624916,1856.0452845593807
EXIT,2019-12-25 04:00:00,7250.014343,14.100807945611669,0.6194903086407363,13.481317636970932,1869.5266021963516
ENTRY,2019-12-29 16:00:00,7475.291915,0.0,0.47073417618790814,-0.47073417618790814,1869.0558680201636
STOP,2019-12-29 20:00:00,7354.332096139786,-19.0427080742978,0.46311709295818904,-19.50582516725599,1849.5500428529076
ENTRY,2019-12-30 00:00:00,7351.714853,0.0,0.46519944844539535,-0.46519944844539535,1849.0848434044622
STOP,2019-12-30 16:00:00,7232.6279849012435,-18.838851364734523,0.4576639078995015,-19.296515272634025,1829.7883281318282
ENTRY,2020-01-03 16:00:00,7345.282924,0.0,0.32151043070178353,-0.32151043070178353,1829.4668177011263
EXIT,2020-01-09 20:00:00,7815.414672000001,51.445350148524305,0.34208857076119326,51.103261577763114,1880.5700792788894
ENTRY,2020-01-10 20:00:00,8199.479106,0.0,0.2530489360274228,-0.2530489360274228,1880.317030342862
EXIT,2020-01-19 12:00:00,8629.360415000001,33.16704831314373,0.26631575535268026,32.90073255779105,1913.217762900653
ENTRY,2020-01-26 20:00:00,8617.584499999999,0.0,0.4852434423958421,-0.4852434423958421,1912.7325194582572
